time_s,resultant
0,0.029095774
0.01,0.023070584
0.02,0.03186739
0.03,0.021533789
0.04,0.017501799
0.05,0.019958039
0.06,0.033982898
0.07,0.032495032
0.08,0.031369912
0.09,0.028005839
0.1,0.023291351
0.11,0.029690501
0.12,0.031706747
0.13,0.033530351
0.14,0.033983314
0.15,0.039680246
0.16,0.035555607
0.17,0.026361809
0.18,0.021729313
0.19,0.025966558
0.2,0.036917108
0.21,0.053301203
0.22,0.054750399
0.23,0.047712533
0.24,0.02783622
0.25,0.007288891
0.26,0.011512145
0.27,0.024261046
0.28,0.040373707
0.29,0.025842164
0.3,0.023946563
0.31,0.031011809
0.32,0.040624813
0.33,0.042878543
0.34,0.039347392
0.35,0.024939243
0.36,0.034171232
0.37,0.04502146
0.38,0.040946702
0.39,0.034923029
0.4,0.030763698
0.41,0.035919843
0.42,0.043419386
0.43,0.045749272
0.44,0.045788153
0.45,0.037723621
0.46,0.041272976
0.47,0.041083638
0.48,0.037973093
0.49,0.030247197
0.5,0.038712308
0.51,0.054511917
0.52,0.075772572
0.53,0.112438555
0.54,0.164694724
0.55,0.21594911
0.56,0.255382183
0.57,0.280847284
0.58,0.294832615
0.59,0.29531295
0.6,0.265386051
0.61,0.230451147
0.62,0.222475457
0.63,0.236433575
0.64,0.243335383
0.65,0.247622698
0.66,0.240372181
0.67,0.22386341
0.68,0.200633929
0.69,0.17993625
0.7,0.172235
0.71,0.167062601
0.72,0.162119638
0.73,0.16633857
0.74,0.17739101
0.75,0.200399647
0.76,0.234166584
0.77,0.246744037
0.78,0.267241581
0.79,0.291441831
0.8,0.286198835
0.81,0.22726742
0.82,0.234968188
0.83,0.262696264
0.84,0.105163942
0.85,0.074348536
0.86,0.179445823
0.87,0.243046751
0.88,0.318070347
0.89,0.333520158
0.9,0.259169262
0.91,0.170394895
0.92,0.114653264
0.93,0.087430937
0.94,0.105198942
0.95,0.138545854
0.96,0.155711024
0.97,0.162373163
0.98,0.155612879
0.99,0.16689103
1,0.154335145
1.01,0.162508012
1.02,0.163045117
1.03,0.169791758
1.04,0.169805241
1.05,0.16845963
1.06,0.169407037
1.07,0.161423835
1.08,0.145012508
1.09,0.156409534
1.1,0.16836405
1.11,0.182910445
1.12,0.200959073
1.13,0.215656514
1.14,0.22620117
1.15,0.237232656
1.16,0.24126516
1.17,0.238369425
1.18,0.235973377
1.19,0.246258249
1.2,0.265820195
1.21,0.26714896
1.22,0.237946873
1.23,0.196415051
1.24,0.170927069
1.25,0.162099811
1.26,0.171095804
1.27,0.179018124
1.28,0.192950002
1.29,0.210891526
1.3,0.235813037
1.31,0.254244207
1.32,0.249795188
1.33,0.239577534
1.34,0.209919788
1.35,0.184691041
1.36,0.154469877
1.37,0.113370968
1.38,0.091043823
1.39,0.096866889
1.4,0.12867866
1.41,0.142162969
1.42,0.093447695
1.43,0.088158628
1.44,0.179392187
1.45,0.264767249
1.46,0.275385125
1.47,0.177120884
1.48,0.069772252
1.49,0.117003271
1.5,0.122368345
1.51,0.135314942
1.52,0.134461376
1.53,0.121542839
1.54,0.100468355
1.55,0.095724424
1.56,0.089661716
1.57,0.076009666
1.58,0.076510521
1.59,0.098166682
1.6,0.107564597
1.61,0.10192495
1.62,0.097030564
1.63,0.124741277
1.64,0.117919606
1.65,0.093234523
1.66,0.097869452
1.67,0.144385556
1.68,0.169138711
1.69,0.143880891
1.7,0.076334775
1.71,0.058166613
1.72,0.124865762
1.73,0.154284857
1.74,0.159267368
1.75,0.080223133
1.76,0.065621498
1.77,0.069922443
1.78,0.070925484
1.79,0.07875681
1.8,0.126533887
1.81,0.148807383
1.82,0.145838236
1.83,0.12577923
1.84,0.178640347
1.85,0.204880268
1.86,0.236654329
1.87,0.225904656
1.88,0.237567899
1.89,0.269099561
1.9,0.263512415
1.91,0.234597066
1.92,0.243466189
1.93,0.147801746
1.94,0.105008607
1.95,0.14357039
1.96,0.118094695
1.97,0.108128589
1.98,0.076394135
1.99,0.046986257
2,0.057924195
2.01,0.067532195
2.02,0.0606497
2.03,0.043005033
2.04,0.028482506
2.05,0.043713408
2.06,0.051627017
2.07,0.056844571
2.08,0.052911447
2.09,0.045451315
2.1,0.072300768
2.11,0.117759762
2.12,0.140974397
2.13,0.119405578
2.14,0.096188389
2.15,0.083176308
2.16,0.094822135
